date,open,high,low,close,volume
6/28/2019,47.8293,48.0255,47.4369,47.6463,124442568
7/1/2019,48.9102,49.228,48.3035,48.5202,109266956
7/2/2019,48.4865,48.9011,48.4745,48.8043,67740868
7/3/2019,48.9367,49.2159,48.7947,49.2087,45448180
7/5/2019,48.9535,49.37,48.8452,49.1654,69062072
7/8/2019,48.3421,48.4841,47.7643,48.1519,101354512
7/9/2019,47.9545,48.5106,47.8606,48.4456,82312060
7/10/2019,48.5924,49.045,48.5226,48.9246,71588552
7/11/2019,48.9439,49.2039,48.5587,48.5684,80767368
7/12/2019,48.7369,49.11,48.6767,48.9415,70380848
7/15/2019,49.1317,49.5602,49.11,49.4013,67789680
7/16/2019,49.252,49.618,48.9896,49.2304,67467264
7/17/2019,49.122,49.3728,48.9343,48.9535,56429800
7/18/2019,49.11,49.5626,49.0378,49.5096,74328644
7/19/2019,49.5409,49.7119,48.7152,48.7706,83717228
7/22/2019,49.0258,49.8876,49.0161,49.8852,89111728
7/23/2019,50.1837,50.292,49.902,50.2752,73420840
7/24/2019,49.9935,50.3498,49.8731,50.2342,59966268
7/25/2019,50.2872,50.3715,49.7672,49.837,55638248
7/26/2019,49.9478,50.4894,49.8659,50.0104,70475496
7/29/2019,50.1837,50.7085,50.1789,50.4774,86693556
7/30/2019,50.2559,50.5929,49.9068,50.2607,135742872
7/31/2019,52.0999,53.2916,50.8674,51.2863,277125444
8/1/2019,51.4933,52.4875,49.7705,50.1765,216071688
8/2/2019,49.4783,49.695,48.5395,49.1148,163448488
8/5/2019,47.6632,47.8218,46.3608,46.5438,209571876
8/6/2019,47.2588,47.6817,46.7123,47.4249,143299148
8/7/2019,47.0421,48.0411,46.6593,47.916,133457600
8/8/2019,48.1952,48.9969,48.0002,48.9728,108038092
8/9/2019,48.6457,48.9985,48.1599,48.5708,98478984
8/12/2019,48.2397,48.8273,48.1261,48.4475,89927556
8/13/2019,48.578,51.2652,48.5321,50.4992,190159144
8/14/2019,49.0952,49.8878,48.9567,48.9961,146189772
8/15/2019,49.1677,49.5736,48.2518,48.752,111533452
8/16/2019,49.3658,50.0618,49.2595,49.9023,115254496
8/19/2019,50.8979,51.408,50.7541,50.8327,97727660
8/20/2019,50.9608,51.5577,50.8254,50.8351,107678116
8/21/2019,51.4707,51.6302,51.1355,51.3861,86258988
8/22/2019,51.519,51.8199,50.9293,51.3426,89071276
8/23/2019,50.6104,51.2437,48.5732,48.9695,187531372
8/26/2019,49.7476,50.069,49.5537,49.8999,104264520
8/27/2019,50.231,50.3977,49.1846,49.3368,103589376
8/28/2019,49.3223,49.7138,49.1338,49.6679,63830528
8/29/2019,50.3856,50.5838,49.9398,50.5089,84030608
8/30/2019,50.7868,50.8568,50.0715,50.4436,84650244
9/3/2019,49.8854,50.0183,49.3513,49.709,80238296
9/4/2019,50.359,50.6224,50.1005,50.5524,76867280
9/5/2019,51.2314,51.7075,51.113,51.5407,95787936
9/6/2019,51.7268,51.8162,51.3547,51.5359,76928340
9/9/2019,51.9177,52.3044,51.0067,51.7558,109237604
9/10/2019,51.6809,52.3865,51.1613,52.3672,127111724
9/11/2019,52.6983,54.0612,52.6161,54.0322,177158584
9/12/2019,54.3246,54.7161,53.8558,53.9102,128906676
9/13/2019,53.1647,53.3556,52.4445,52.8626,159053184
9/16/2019,52.6161,53.1961,52.575,53.1405,84632564
9/17/2019,53.155,53.3628,52.952,53.3338,73545872
9/18/2019,53.4208,53.8534,53.0293,53.8341,102572372
9/19/2019,53.6504,54.0733,53.2541,53.3967,88751504
9/20/2019,53.4982,53.7833,52.554,52.6161,231908376
9/23/2019,52.9109,53.126,52.5968,52.8554,77678592
9/24/2019,53.4196,53.7664,52.4856,52.604,125737468
9/25/2019,52.8143,53.5272,52.4736,53.4136,89924024
9/26/2019,53.1647,53.3918,52.8819,53.1381,76353248
9/27/2019,53.2952,53.3967,52.5077,52.8795,101445140
9/30/2019,53.3822,54.2715,53.3556,54.1241,105274332
10/1/2019,54.3899,55.1511,54.1796,54.2739,144748652
10/2/2019,53.9041,54.0298,52.6644,52.9134,143069028
10/3/2019,52.7853,53.3967,51.9883,53.3628,121410744
10/4/2019,54.5276,54.9747,54.1047,54.8587,139022212
10/7/2019,54.6799,55.5643,54.576,54.8708,123557076
10/8/2019,54.5711,55.1124,54.2111,54.228,117130800
10/9/2019,54.8635,55.0472,54.5276,54.8635,76117696
10/10/2019,55.081,55.6876,54.9288,55.603,115851936
10/11/2019,56.2941,57.4275,56.1389,57.0819,167960840
10/14/2019,56.7654,57.5469,56.7098,56.9998,97653936
10/15/2019,57.1254,57.4299,56.7605,56.8669,92161932
10/16/2019,56.3956,56.8475,56.3546,56.6373,77146776
10/17/2019,56.8113,57.0674,56.4319,56.8572,69091588
10/18/2019,56.6905,57.413,56.618,57.1303,96992092
10/21/2019,57.3985,58.2371,57.3502,58.1211,87246268
10/22/2019,58.2782,58.5295,57.9064,57.9882,90736004
10/23/2019,58.5053,58.7808,58.2927,58.7663,79730180
10/24/2019,59.0877,59.1578,58.434,58.863,71665020
10/25/2019,58.7615,59.6242,58.6938,59.5879,73477184
10/28/2019,59.7909,60.2332,59.6218,60.1848,96572964
10/29/2019,60.1655,60.354,58.6189,58.7929,142839468
10/30/2019,59.1481,59.2786,58.2902,58.7856,124522088
10/31/2019,59.7474,60.2138,57.3357,60.1147,139162080
11/1/2019,60.3032,61.8474,60.2114,61.8209,151125336
11/4/2019,62.1858,62.3102,61.7145,62.2268,103271808
11/5/2019,62.1181,62.3936,61.9417,62.1374,79897708
11/6/2019,62.0504,62.2244,61.7109,62.164,75864496
11/7/2019,62.7121,63.1023,62.5594,62.8793,94940332
11/8/2019,62.7,63.1241,62.254,63.0514,70081980
11/11/2019,62.6054,63.6161,62.6006,63.5507,82029836
11/12/2019,63.3931,63.6937,63.2405,63.4925,87388904
11/13/2019,63.2914,64.176,63.2768,64.1009,103270372
11/14/2019,63.9264,64.2003,63.5265,63.6573,89582224
11/15/2019,63.9094,64.4184,63.747,64.4135,100374664
11/18/2019,64.4232,64.8183,64.0427,64.7383,86803588
11/19/2019,64.9322,64.9565,64.3245,64.542,76278388
11/20/2019,64.3602,64.4918,63.1144,63.7906,106439676
11/21/2019,63.9118,63.9882,63.3035,63.5046,121395112
11/22/2019,63.6452,63.7882,63.2211,63.4489,65325052
11/25/2019,63.6743,64.5784,63.6283,64.5614,84118068
11/26/2019,64.6995,64.7529,63.6234,64.0573,105339528
11/27/2019,64.3699,64.9516,64.3045,64.9177,65544488
11/29/2019,64.6171,64.9565,64.4475,64.7747,46617452
12/2/2019,64.7795,65.0171,63.8537,64.0257,94774200
12/3/2019,62.6079,62.9036,62.1183,62.8842,117509072
12/4/2019,63.2768,63.8197,63.1823,63.4392,67241552
